Modelo			Descripción 	Categoría 	Función 	Voltaje	Precio Venta USD
S12P-ECV13		Condensadora	Minisplit 12k	Inverter	Solo Frio	110V	$222,00
		Evaporador					
S12P-EHV13		Condensadora	Minisplit 12k	Inverter	Heat Pump	110V	$228,75
		Evaporador					
S12P-ECV23		Condensadora	Minisplit 12k	Inverter	Solo Frio	220V	$225,00
		Evaporador					
S12P-EHV23		Condensadora	Minisplit 12k	Inverter	Heat Pump	220V	$229,00
		Evaporador					
S18P-ECV22		Condensadora	Minisplit 12k	Inverter	Solo Frio	220V	$399,00
		Evaporador					
S18P-EHV22		Condensadora	Minisplit 12k	Inverter	Heat Pump	220V	$422,00
		Evaporador					
S24P-ECV23		Condensadora	Minisplit 12k	Inverter	Solo Frio	220V	$493,00
		Evaporador					
S24P-EHV23		Condensadora	Minisplit 12k	Inverter	Heat Pump	220V	$522,00
		Evaporador					
S36P-ECV23		Condensadora	Minisplit 12k	Inverter	Solo Frio	220V	$858,00
		Evaporador					
S36P-EHV23		Condensadora	Minisplit 12k	Inverter	Heat Pump	220V	$930,00
		Evaporador						

Modelo	                              Descripcion	                          PRECIO

(CONDENSADORA MINISPLIT INVERTER MARCA CARRIER HEAT PUMP REFRIGERANTE R32 CAPACIDAD 1 TR VOLTAJE 220V/1F/60HZ 	
40RUQA25T2A5-UA0A0 	Manejadora comercial HP R410a 20 ton 230/3/60 	10.357
40RUQA25T2A6-UA0A0 	Manejadora comercial HP R410a 20 ton 460/3/60 	10.357
		
50ZPX08M-5A 	Paquete comercial 7.5 ton Descarga Horizontal 220/3/60 	4.057
50ZPX12M-5A 	Paquete comercial 10 ton Descarga Horizontal 220/3/60 	5.638
50ZPX16M-5A 	Paquete comercial 15 ton Descarga Horizontal 220/3/60 	7.975
50ZPX24M-5A 	Paquete comercial 20 ton Descarga Horizontal 220/3/60 	10.120
50ZPX24M-6A 	Paquete comercial 20 ton Descarga Horizontal 460/3/60 	10.120
50ZPX28M-5A 	Paquete comercial 25 ton Descarga Horizontal 220/3/60 	11.724
50ZPX28M-6A 	Paquete comercial 25 ton Descarga Horizontal 460/3/60 	11.724
50ZPX30M-5A 	Paquete comercial 30 ton Descarga Horizontal 220/3/60 	15.263
50ZPX30M-6A 	Paquete comercial 30 ton Descarga Horizontal 460/3/60 	15.263
		
CP400A-X120DH5H1H	PAQ HP INVERTER 10T 230/3/60 CIAC SIDE 	6.416
CP400A-X180AH5H1H 	PAQ HP INVERTER 15T 230/3/60 CIAC SIDE 	8.743
CP400A-X240AH5H1H 	PAQ HP INVERTER 20T 230/3/60 CIAC SIDE 	11.037
CP400A-X300AH5H1H 	PAQ HP INVERTER 25T 230/3/60 CIAC SIDE 	13.438
		
CP400A-X180AM6H1C 	PAQ SF INVERTER 15T 460/3/60 CIAC DUAL 	11.682
CP400A-X240AM6H1C 	PAQ SF INVERTER 20T 460/3/60 CIAC DUAL 	14.022
CP400A-X360AM6H1H 	PAQ HP INVERTER 30T 460/3/60 CIAC DUAL 	16.360

50FC-A04A2A5-0A0A0	Paquete comercial SF 3 ton, 220/3/60 Al-Cu, convertible	    3.862
50FC-A04A2A6-0A0A0 	Paquete comercial SF 3 ton, 440/3/60 Al-Cu, convertible 	4.013
50FC-A05A2A5-0A0A0 	Paquete comercial SF 4 ton, 220/3/60 Al-Cu, convertible 	4.749
50FC-A05A2A6-0A0A0 	Paquete comercial SF 4 ton, 440/3/60 Al-Cu, convertible 	4.847
50FC-A06A2A5-0A0A0 	Paquete comercial SF 5 ton, 220/3/60 Al-Cu, convertible 	5.149
50FC-A06A2A6-0A0A0 	Paquete comercial SF 5 ton, 440/3/60 Al-Cu, convertible 	5.301
50FC-M07A2A5-0A0A0 	Paquete comercial SF 6 ton, 220/3/60 Al-Cu, convertible 	6.710
50FC-M07A2A6-0A0A0 	Paquete comercial SF 6 ton, 440/3/60 Al-Cu, convertible	      6.894
50FC-M08A2A5-0A0A0 	Paquete comercial SF 7.5 ton, 220/3/60 Al-Cu, convertible 	10.938
